postal_code,name,municipality,prefecture,periphery,type
10431,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10432,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10433,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10434,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10435,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10436,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10437,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10438,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10439,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10440,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10441,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10442,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10443,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10444,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10445,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10446,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10447,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10551,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10552,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10553,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10554,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
10555,ΑΘΗΝΑ,ΑΘΗΝΑΙΩΝ,ΑΘΗΝΩΝ,ΑΤΤΙΚΗΣ,ΠΡΩΤ. ΧΩΡΑΣ
