name,latitude,longitude,rating,num_reviews,rooms,total_grade
Royalty Hotel Athens,37.977127,23.726442,4.5,25.0,0.0,100.0
Dave Red Athens - Son of A Brown,37.98556,23.728083,3.5,38.0,87.0,100.0
Hotel Semeli,38.00164,23.73454,3.5,91.0,23.0,84.0
The Lekka Hotel & Spa,37.977436,23.731247,4.5,4.0,53.0,100.0
Amphora Hotel,35.51784,24.015123,4.5,359.0,0.0,98.0
Alexis Hotel,35.507427,23.998613,4.5,874.0,26.0,52.0
Ionion Star Hotel,38.83456,20.711002,4.0,301.0,64.0,78.0
Pindos Resort,39.89012,21.300278,5.0,280.0,6.0,0.0
Tokin House,41.027523,21.337206,4.5,50.0,10.0,90.0
Alistos Hotel,36.78175,22.534834,5.0,62.0,15.0,0.0
Limneon Resort & Spa,40.489532,21.277126,4.5,530.0,89.0,0.0
Alexander's Suites,36.461967,25.385246,4.0,685.0,12.0,82.0
Alfa Apartments,35.518055,23.87534,4.0,53.0,26.0,38.0
Nafsika Hotel,36.449154,28.215815,4.5,207.0,40.0,99.0
Hotel Riviera,36.454166,28.219387,3.5,110.0,121.0,97.0
Atlantica Imperial Resort,36.249535,28.165918,4.5,4879.0,262.0,68.0
Ilioperato Hotel,36.43668,25.42206,4.5,397.0,11.0,69.0
Hotel Aegeon,37.07861,25.14746,3.5,140.0,55.0,85.0
Plaza Hotel,37.97771,22.977182,4.0,82.0,22.0,97.0
Viglia Beach Apartments,35.515198,23.621662,4.5,147.0,12.0,0.0
Iris Boutique Hotel,36.374397,25.481667,3.5,127.0,0.0,96.0
Hotel Macedonia,37.738728,20.890108,4.0,567.0,60.0,73.0
Cronulla Hotel,37.74277,20.897797,5.0,289.0,50.0,92.0
Argassi Beach Hotel,37.762333,20.929436,3.0,98.0,33.0,69.0
Aliakmon Hotel,40.300163,21.791073,3.5,83.0,73.0,71.0
Anesis Hotel,40.29889,21.790062,3.5,39.0,36.0,69.0
Mykonos Beach Hotel,37.438595,25.327263,4.0,627.0,40.0,86.0
Corfu Palace Hotel,39.619198,19.922869,4.0,1014.0,115.0,93.0
Kairaba Sandy Villas,39.435555,19.944166,4.5,667.0,92.0,43.0
Oasis Studios & Apartments,36.88423,27.180437,3.5,197.0,47.0,69.0
Pontikonisi Hotel,39.585682,19.91474,4.0,94.0,60.0,56.0
Anthemus Sea Beach Hotel & Spa,40.145912,23.734167,4.5,583.0,200.0,0.0
Magnolia Resort,38.072952,20.74551,4.5,737.0,50.0,44.0
Beach Hotel Kapahi,40.6175,24.598156,2.5,26.0,23.0,49.0
